Writing Traktor file to /Users/myanguyen/CHIRP-Radio-Application/chirpradio-machine/output.nml
         248018365 function calls (246574689 primitive calls) in 123.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   272988    0.167    0.000    0.167    0.000 {method 'search' of 're.Pattern' objects}
   272991    0.156    0.000    0.156    0.000 {method 'write' of '_io.BufferedWriter' objects}
   272989    0.076    0.000    0.143    0.000 nml_writer.py:49(_traktor_path_quote)
  1091952    0.143    0.000    0.143    0.000 _util.py:536(__getitem__)
   272989    0.090    0.000    0.118    0.000 printing.py:19(default_write)
   272988    0.116    0.000    0.116    0.000 {built-in method time.gmtime}
   272988    0.085    0.000    0.107    0.000 timestamp.py:107(is_valid)
   272996    0.055    0.000    0.085    0.000 posixpath.py:41(_get_sep)
   546318    0.076    0.000    0.076    0.000 _specs.py:577(validate)
   545976    0.072    0.000    0.072    0.000 {method 'group' of 're.Match' objects}
   240495    0.068    0.000    0.068    0.000 {method 'split' of 'str' objects}
   272988    0.066    0.000    0.066    0.000 audio_file.py:134(canonical_filename)
   272988    0.058    0.000    0.058    0.000 _tags.py:108(__init__)
   318254    0.056    0.000    0.056    0.000 {method 'startswith' of 'str' objects}
        1    0.011    0.011    0.054    0.054 artists.py:299(_read_artist_whitelist_from_file)
   299998    0.044    0.000    0.044    0.000 {method 'endswith' of 'str' objects}
   272990    0.043    0.000    0.043    0.000 {built-in method time.time}
    21565    0.003    0.000    0.038    0.000 codecs.py:711(__next__)
    21565    0.003    0.000    0.035    0.000 {built-in method builtins.next}
    21565    0.005    0.000    0.032    0.000 codecs.py:642(__next__)
        1    0.000    0.000    0.030    0.030 saxutils.py:1(<module>)
    21565    0.014    0.000    0.027    0.000 codecs.py:531(readline)
        1    0.000    0.000    0.026    0.026 request.py:1(<module>)
        1    0.000    0.000    0.026    0.026 database.py:1(<module>)
   272991    0.025    0.000    0.025    0.000 {built-in method _codecs.utf_8_encode}
   273297    0.025    0.000    0.025    0.000 {built-in method posix.fspath}
       93    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.017    0.017 client.py:1(<module>)
       12    0.000    0.000    0.017    0.001 __init__.py:1(<module>)
  115/114    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       93    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     4610    0.013    0.000    0.013    0.000 {method 'read' of '_io.BufferedReader' objects}
       22    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       22    0.011    0.000    0.012    0.001 {built-in method _imp.create_dynamic}
      117    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:921(_find_spec)
  499/495    0.005    0.000    0.010    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.010    0.010 parser.py:1(<module>)
        1    0.000    0.000    0.010    0.010 feedparser.py:1(<module>)
      272    0.010    0.000    0.010    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      116    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     5235    0.007    0.000    0.009    0.000 codecs.py:451(read)
      116    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        1    0.000    0.000    0.008    0.008 audio_file.py:1(<module>)
      197    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       93    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       38    0.000    0.000    0.005    0.000 re.py:249(compile)
       38    0.000    0.000    0.005    0.000 re.py:288(_compile)
       93    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
       31    0.000    0.000    0.005    0.000 sre_compile.py:783(compile)
        2    0.000    0.000    0.005    0.003 _file.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:1(<module>)
        1    0.000    0.000    0.005    0.005 analyzer.py:1(<module>)
        1    0.000    0.000    0.005    0.005 utils.py:1(<module>)
        3    0.000    0.000    0.004    0.001 _util.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _tags.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _frames.py:1(<module>)
      465    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      467    0.003    0.000    0.003    0.000 {built-in method posix.stat}
       13    0.000    0.000    0.003    0.000 enum.py:536(_convert_)
       31    0.000    0.000    0.003    0.000 sre_parse.py:944(parse)
    95/31    0.000    0.000    0.003    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
   138/35    0.001    0.000    0.003    0.000 sre_parse.py:494(_parse)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
    21606    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
       19    0.001    0.000    0.003    0.000 enum.py:180(__new__)
       12    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
       79    0.000    0.000    0.002    0.000 enum.py:359(__call__)
       13    0.000    0.000    0.002    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.002    0.002 dbapi2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
       22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       22    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.002    0.002 timestamp.py:1(<module>)
