Writing Traktor file to /Users/myanguyen/CHIRP-Radio-Application/chirpradio-machine/output.nml
         248018365 function calls (246574689 primitive calls) in 123.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 handler.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1616(_make_netmask)
        2    0.000    0.000    0.000    0.000 enum.py:937(_missing_)
       26    0.000    0.000    0.000    0.000 calendar.py:60(__getitem__)
        2    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.000    0.000 response.py:1(<module>)
       46    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
       29    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
      180    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       24    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
      256    0.000    0.000    0.000    0.000 _util.py:46(bchr)
       18    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
       50    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       14    0.000    0.000    0.000    0.000 calendar.py:79(__getitem__)
      117    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
       74    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 abc.py:110(register)
      187    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _file.py:36(ID3)
       69    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      406    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.000    0.000 typing.py:947(__init__)
      238    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:1740(_parse_hextet)
       19    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 typing.py:1223(__getitem__)
        1    0.000    0.000    0.000    0.000 _frames.py:1077(SYLT)
      398    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _util.py:72(_BitPaddedMixin)
       14    0.000    0.000    0.000    0.000 sre_compile.py:437(<listcomp>)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 ssl.py:159(TLSVersion)
     15/6    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1147(_make_netmask)
       57    0.000    0.000    0.000    0.000 easyid3.py:81(RegisterKey)
        1    0.000    0.000    0.000    0.000 _util.py:351(XingHeader)
        1    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
       45    0.000    0.000    0.000    0.000 re.py:269(escape)
     15/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        9    0.000    0.000    0.000    0.000 typing.py:146(_type_check)
       19    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       29    0.000    0.000    0.000    0.000 easyid3.py:110(RegisterTextKey)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.000    0.000 typing.py:401(__getitem__)
       57    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        2    0.000    0.000    0.000    0.000 codecs.py:732(seek)
        1    0.000    0.000    0.000    0.000 _strptime.py:90(<listcomp>)
       53    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 re.py:324(_subx)
        1    0.000    0.000    0.000    0.000 _strptime.py:83(<listcomp>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 typing.py:483(Union)
        1    0.000    0.000    0.000    0.000 threading.py:1386(__init__)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        5    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:169(_TLSContentType)
        1    0.000    0.000    0.000    0.000 _frames.py:29(Frame)
        1    0.000    0.000    0.000    0.000 _file.py:339(ID3FileType)
       32    0.000    0.000    0.000    0.000 types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 _strptime.py:91(<listcomp>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:1002(SSLSocket)
       37    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 _tags.py:93(Metadata)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        5    0.000    0.000    0.000    0.000 _util.py:180(wrap)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:1(<module>)
       62    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       49    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      235    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 re.py:314(_compile_repl)
        9    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
       31    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       31    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      153    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      137    0.000    0.000    0.000    0.000 _specs.py:111(__init__)
      116    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 sre_parse.py:981(parse_template)
        1    0.000    0.000    0.000    0.000 datetime.py:2185(timezone)
        4    0.000    0.000    0.000    0.000 ssl.py:457(__new__)
       19    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       72    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _strptime.py:26(_getlang)
        1    0.000    0.000    0.000    0.000 _strptime.py:84(<listcomp>)
      271    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
        1    0.000    0.000    0.000    0.000 nml_writer.py:56(__init__)
       31    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method time.mktime}
      139    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1266(IPv4Address)
       19    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       46    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 ssl.py:473(Purpose)
        4    0.000    0.000    0.000    0.000 locale.py:587(getlocale)
       16    0.000    0.000    0.000    0.000 _specs.py:248(__init__)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        1    0.000    0.000    0.000    0.000 uu.py:1(<module>)
        2    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x105dfa0e0}
        1    0.000    0.000    0.000    0.000 ssl.py:480(SSLContext)
        1    0.000    0.000    0.000    0.000 _util.py:378(flags)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       80    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        1    0.000    0.000    0.000    0.000 os.py:48(<listcomp>)
       93    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 mp3_header.py:1(<module>)
       45    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1870(_split_scope_id)
        3    0.000    0.000    0.000    0.000 codecs.py:681(__init__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        3    0.000    0.000    0.000    0.000 datetime.py:1571(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:634(__neg__)
       62    0.000    0.000    0.000    0.000 sre_compile.py:477(_get_iscased)
        2    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedWriter' objects}
       50    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       23    0.000    0.000    0.000    0.000 _specs.py:564(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1899(IPv6Address)
       59    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 __init__.py:288(MPEGInfo)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
       33    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       23    0.000    0.000    0.000    0.000 _specs.py:460(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:827(__init__)
        1    0.000    0.000    0.000    0.000 _tags.py:23(ID3Header)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        2    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 datetime.py:1563(datetime)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      102    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _strptime.py:152(__calc_timezone)
        1    0.000    0.000    0.000    0.000 _frames.py:341(CTOC)
       45    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 _frames.py:298(CHAP)
        1    0.000    0.000    0.000    0.000 printing.py:4(CustomPrint)
        1    0.000    0.000    0.000    0.000 calendar.py:52(_localized_month)
        1    0.000    0.000    0.000    0.000 subprocess.py:702(Popen)
        2    0.000    0.000    0.000    0.000 _util.py:298(total_ordering)
        4    0.000    0.000    0.000    0.000 locale.py:479(_parse_localename)
        6    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
       16    0.000    0.000    0.000    0.000 _specs.py:411(__init__)
        5    0.000    0.000    0.000    0.000 datetime.py:384(_check_date_fields)
        1    0.000    0.000    0.000    0.000 datetime.py:442(timedelta)
        7    0.000    0.000    0.000    0.000 _specs.py:493(__init__)
        1    0.000    0.000    0.000    0.000 client.py:790(HTTPConnection)
      118    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       51    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       16    0.000    0.000    0.000    0.000 enum.py:451(__members__)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        3    0.000    0.000    0.000    0.000 typing.py:1234(<genexpr>)
      166    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 _id3v1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        1    0.000    0.000    0.000    0.000 _frames.py:380(TextFrame)
        6    0.000    0.000    0.000    0.000 sre_parse.py:259(getwhile)
       15    0.000    0.000    0.000    0.000 ssl.py:996(_sslcopydoc)
       45    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        7    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1596(_BaseV6)
        1    0.000    0.000    0.000    0.000 ssl.py:841(SSLObject)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:828(__contains__)
        1    0.000    0.000    0.000    0.000 _frames.py:1608(COMR)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 _frames.py:858(TXXX)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 datetime.py:1239(__new__)
        1    0.000    0.000    0.000    0.000 _frames.py:1044(USLT)
        1    0.000    0.000    0.000    0.000 _frames.py:1224(RVRB)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       63    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       57    0.000    0.000    0.000    0.000 __init__.py:109(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:986(_set_tstate_lock)
        2    0.000    0.000    0.000    0.000 datetime.py:792(__new__)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 _frames.py:1004(MLLT)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:677(SpooledTemporaryFile)
        9    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        3    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
      114    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _frames.py:1246(APIC)
        4    0.000    0.000    0.000    0.000 locale.py:396(normalize)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
        1    0.000    0.000    0.000    0.000 threading.py:816(Thread)
        1    0.000    0.000    0.000    0.000 _frames.py:1110(COMM)
        1    0.000    0.000    0.000    0.000 _strptime.py:95(__calc_am_pm)
        1    0.000    0.000    0.000    0.000 _frames.py:2029(PIC)
        1    0.000    0.000    0.000    0.000 request.py:317(Request)
       45    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        9    0.000    0.000    0.000    0.000 _specs.py:276(__init__)
       85    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 parse.py:367(_fix_result_transcoding)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
        1    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
        1    0.000    0.000    0.000    0.000 threading.py:622(Barrier)
       14    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 functools.py:191(<setcomp>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1473(IPv4Network)
        1    0.000    0.000    0.000    0.000 threading.py:568(set)
        1    0.000    0.000    0.000    0.000 client.py:108(<dictcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       71    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        3    0.000    0.000    0.000    0.000 codecs.py:423(__init__)
        1    0.000    0.000    0.000    0.000 _frames.py:933(PairedTextFrame)
       70    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        5    0.000    0.000    0.000    0.000 datetime.py:397(_check_time_fields)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 request.py:2139(FancyURLopener)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
       32    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 _frames.py:1435(AENC)
        1    0.000    0.000    0.000    0.000 threading.py:545(__init__)
       20    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method time.tzset}
        1    0.000    0.000    0.000    0.000 _frames.py:1373(GEOB)
       63    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       51    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 quopri.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:54(<listcomp>)
       20    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 _frames.py:443(NumericTextFrame)
        1    0.000    0.000    0.000    0.000 _frames.py:1471(LINK)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 _frames.py:1662(GRID)
        1    0.000    0.000    0.000    0.000 _frames.py:1132(RVA2)
        1    0.000    0.000    0.000    0.000 __init__.py:79(MPEGFrame)
        1    0.000    0.000    0.000    0.000 request.py:834(HTTPPasswordMgr)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 parse.py:156(_NetlocResultMixinBase)
        1    0.000    0.000    0.000    0.000 socket.py:674(SocketIO)
       16    0.000    0.000    0.000    0.000 _specs.py:215(__init__)
       32    0.000    0.000    0.000    0.000 _util.py:559(<lambda>)
        2    0.000    0.000    0.000    0.000 sre_parse.py:868(_parse_flags)
       24    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1125(_BaseV4)
        1    0.000    0.000    0.000    0.000 request.py:1694(URLopener)
        4    0.000    0.000    0.000    0.000 functools.py:946(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _frames.py:1586(OWNE)
        1    0.000    0.000    0.000    0.000 _frames.py:463(NumericPartTextFrame)
        1    0.000    0.000    0.000    0.000 _frames.py:916(WXXX)
        1    0.000    0.000    0.000    0.000 schema.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       13    0.000    0.000    0.000    0.000 _util.py:129(loadfile)
        5    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        6    0.000    0.000    0.000    0.000 io.py:60(__getattr__)
        1    0.000    0.000    0.000    0.000 dbapi2.py:56(register_adapters_and_converters)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _frames.py:483(TimeStampTextFrame)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        1    0.000    0.000    0.000    0.000 _util.py:25(LAMEHeader)
        1    0.000    0.000    0.000    0.000 client.py:239(HTTPResponse)
        6    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 threading.py:90(RLock)
        1    0.000    0.000    0.000    0.000 _frames.py:1551(USER)
        1    0.000    0.000    0.000    0.000 _specs.py:620(__init__)
        1    0.000    0.000    0.000    0.000 _frames.py:1755(ASPI)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2147(IPv6Interface)
       19    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _frames.py:2089(LNK)
        1    0.000    0.000    0.000    0.000 threading.py:236(__init__)
        1    0.000    0.000    0.000    0.000 iterators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base64mime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 xmlreader.py:278(AttributesImpl)
        1    0.000    0.000    0.000    0.000 subprocess.py:425(CompletedProcess)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
       21    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:821(TemporaryDirectory)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       15    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
        2    0.000    0.000    0.000    0.000 _specs.py:397(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:132(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 audio_file.py:17(AudioFile)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 selectors.py:81(BaseSelector)
        1    0.000    0.000    0.000    0.000 calendar.py:71(_localized_day)
        1    0.000    0.000    0.000    0.000 fingerprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _frames.py:1181(EQU2)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1406(IPv4Interface)
        1    0.000    0.000    0.000    0.000 os.py:755(encode)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 database.py:120(Database)
        1    0.000    0.000    0.000    0.000 _frames.py:1334(POPM)
        1    0.000    0.000    0.000    0.000 _frames.py:1405(RBUF)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        6    0.000    0.000    0.000    0.000 signal.py:49(decorator)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        2    0.000    0.000    0.000    0.000 codecs.py:621(reset)
        1    0.000    0.000    0.000    0.000 _frames.py:2071(CRM)
        1    0.000    0.000    0.000    0.000 saxutils.py:227(XMLFilterBase)
        1    0.000    0.000    0.000    0.000 _frames.py:1636(ENCR)
        4    0.000    0.000    0.000    0.000 {built-in method _locale.setlocale}
        1    0.000    0.000    0.000    0.000 id3_header.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
        1    0.000    0.000    0.000    0.000 request.py:624(HTTPErrorProcessor)
        1    0.000    0.000    0.000    0.000 _frames.py:505(UrlFrame)
        1    0.000    0.000    0.000    0.000 threading.py:389(notify_all)
        4    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 enum.py:58(_make_class_unpicklable)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:990(addgroup)
        1    0.000    0.000    0.000    0.000 threading.py:800(_maintain_shutdown_locks)
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
        1    0.000    0.000    0.000    0.000 _util.py:47(unsynch)
        1    0.000    0.000    0.000    0.000 _frames.py:990(ETCO)
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 _frames.py:1690(PRIV)
        2    0.000    0.000    0.000    0.000 _specs.py:175(__init__)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _frames.py:1206(RVAD)
        1    0.000    0.000    0.000    0.000 _frames.py:1521(UFID)
        1    0.000    0.000    0.000    0.000 _specs.py:17(PictureType)
        1    0.000    0.000    0.000    0.000 saxutils.py:112(XMLGenerator)
        1    0.000    0.000    0.000    0.000 _frames.py:2009(RVA)
        1    0.000    0.000    0.000    0.000 _frames.py:1715(SIGN)
        1    0.000    0.000    0.000    0.000 __init__.py:432(MP3)
        1    0.000    0.000    0.000    0.000 _util.py:457(VBRIHeader)
       16    0.000    0.000    0.000    0.000 _util.py:563(get_unpack_from)
        2    0.000    0.000    0.000    0.000 _specs.py:314(__init__)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 _frames.py:1026(SYTC)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_128}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:778(exec_module)
        1    0.000    0.000    0.000    0.000 database.py:155(get_all)
        1    0.000    0.000    0.000    0.000 _frames.py:970(BinaryFrame)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 ssl.py:452(_ASN1Object)
        1    0.000    0.000    0.000    0.000 subprocess.py:104(CalledProcessError)
        2    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _tags.py:168(ID3Tags)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_512}
        1    0.000    0.000    0.000    0.000 _util.py:432(DictMixin)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_256}
        1    0.000    0.000    0.000    0.000 _frames.py:1498(POSS)
        1    0.000    0.000    0.000    0.000 handler.py:47(ContentHandler)
        1    0.000    0.000    0.000    0.000 _util.py:959(BitReaderError)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_256}
        1    0.000    0.000    0.000    0.000 ipaddress.py:563(_BaseAddress)
        1    0.000    0.000    0.000    0.000 xmlreader.py:11(XMLReader)
        1    0.000    0.000    0.000    0.000 random.py:219(__init_subclass__)
        3    0.000    0.000    0.000    0.000 datetime.py:2205(_create)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_384}
        2    0.000    0.000    0.000    0.000 _specs.py:585(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:74(<listcomp>)
        1    0.000    0.000    0.000    0.000 string.py:159(Formatter)
        3    0.000    0.000    0.000    0.000 codecs.py:348(__init__)
        1    0.000    0.000    0.000    0.000 dbapi2.py:50(<listcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:412(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        1    0.000    0.000    0.000    0.000 subprocess.py:141(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 header.py:541(_Accumulator)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _util.py:963(BitReader)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        3    0.000    0.000    0.000    0.000 datetime.py:46(_days_before_year)
        1    0.000    0.000    0.000    0.000 numbers.py:267(Rational)
        1    0.000    0.000    0.000    0.000 threading.py:359(notify)
        1    0.000    0.000    0.000    0.000 calendar.py:295(TextCalendar)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.000    0.000 threading.py:224(Condition)
        1    0.000    0.000    0.000    0.000 selectors.py:342(_PollLikeSelector)
